original,ground_truth,generated,t5_base_corrected,coedit_large_corrected,prithivida_corrected,haiku_corrected
I am sad to read about Richard not being at his best .,I am sad to read about Richard not being well .,She decided to apply for position at prestigious law firm in downtown area.,She decided to apply for a position at prestigious law firm in downtown area.,She decided to apply for a position at a prestigious law firm in the downtown area.,She decided to apply for a position at a prestigious law firm in downtown area.,She decided to apply for a position at a prestigious law firm in the downtown area.
"As far as organisation is concerned , adequate number of double rooms with shower or bath have been booked for your group at the Palace hotel located across the main street from the train station .","As far as the organisation is concerned , an adequate number of double rooms with shower or bath have been booked for your group at the Palace Hotel , located across the main street from the train station .","As far as scheduling is concerned, adequate number of qualified candidates has been selected for the management positions at the new corporate office located near the business district.","As far as scheduling is concerned, an adequate number of qualified candidates has been selected for the management positions at the new corporate office located near the business district.","As far as scheduling is concerned, an adequate number of qualified candidates has been selected for the management positions at the new corporate office located near the business district.","As far as scheduling is concerned, an adequate number of qualified candidates has been selected for the management positions at the new corporate office located near the business district.","As far as scheduling is concerned, an adequate number of qualified candidates has been selected for the management positions at the new corporate office located near the business district."
"To come to our college , you can either watch downhill to the lake front ( about 10 min ) or take the new cable car from the train station .","To come to our college , you can either walk downhill to the lakeside ( about 10 mins ) or take the new cable car from the train station .","To arrive at the museum, you can either climb uphill to the historic district (about 15 min) or ride the new escalator from the parking garage.","To arrive at the museum, you can either climb uphill to the historic district (about 15 min) or ride the new escalator from the parking garage.","To arrive at the museum, you can either climb uphill to the historic district (about 15 min) or ride the new escalator from the parking garage.","To arrive at the museum, you can either climb uphill to the historic district (about 15 min) or ride the new escalator from the parking garage.","To arrive at the museum, you can either climb uphill to the historic district (about 15 min) or ride the new escalator from the parking garage."
The college is just stairs away from the bottom end .,The college is just steps away from the bottom end .,The hospital is just blocks away at the city center.,The hospital is just blocks away from the city center.,The hospital is just blocks away from the city center.,The hospital is just blocks away from the city center.,The hospital is just a few blocks away in the city center.
"It will start by a speech from the Director of the conference , followed by a meal .","It will start with a speech from the Director of the conference , followed by a meal .",The meeting will commence with a presentation of the CEO about the quarterly results.,The meeting will commence with a presentation of the CEO about the quarterly results.,The meeting will commence with a presentation by the CEO about the quarterly results.,The meeting will commence with a presentation by the CEO about the quarterly results.,The meeting will commence with a presentation by the CEO about the quarterly results.
The recreative part will begin at 10 pm with a short musical comedy performed by some of our students and end with fireworks launched from the roof of the college at 2 am .,The recreational part will begin at 10 pm with a short musical comedy performed by some of our students and end with fireworks launched from the roof of the college at 2 am .,The educational program will conclude at noon with a traditional dance performed by members of the community and finish with certificates distributed from the principal of the school at 3 pm.,The educational program will conclude at noon with a traditional dance performed by members of the community and finish with certificates distributed from the principal of the school at 3 pm.,The educational program will conclude at noon with a traditional dance performed by members of the community and finish with certificates distributed by the principal of the school at 3 pm.,The educational program will conclude at noon with a traditional dance performed by members of the community and finish with certificates distributed from the principal of the school at 3 pm.,The educational program will conclude at noon with a traditional dance performed by members of the community and finish with certificates distributed by the principal of the school at 3 pm.
"Appart of that , there is no recommendation as to what to wear .","Apart from that , there is no recommendation as to what to wear .",Alot of students have difficulty with mathematics.,A lot of students have difficulty with mathematics.,Alot of students have difficulty with mathematics.,Alot of students have difficulty with mathematics.,A lot of students have difficulty with mathematics.
yours sincerely,Yours sincerely,"dear professor johnson,","Dear professor Johnson,","Dear Professor Johnson,","dear professor johnson,","Dear Professor Johnson,"
Where are you ?,' Where are you ? ',What time does the store close,What time does the store close?,What time does the store close?,When does the store close? What time does the store close?,What time does the store close?
Due to the mobile phone .,"Due to the mobile phone ,",Despite the heavy rainfall.,Despite the heavy rainfall.,"Despite the heavy rainfall,",Despite the heavy rainfall.,"Despite the heavy rainfall, the event proceeded as planned."
Of course it allows to be reached everywhere ( even in places you would n't want . ),Of course it allows us to be reached everywhere ( even in places you would n't want ) .,The new software enables to process data faster than before.,The new software enables to process data faster than before.,The new software enables us to process data faster than before.,The new software enables us to process data faster than before.,The new software enables us to process data faster than before.
But is n't it a handicap outside professional life .,But is n't it a handicap outside professional life ?,Isn't the new policy going to affect everyone in the company?,Isn't the new policy going to affect everyone in the company?,Isn't the new policy going to affect everyone in the company?,Isn't the new policy going to affect everyone in the company?,Isn't the new policy going to affect everyone in the company?
Should n't people communicate with those they are next to instead of calling someone 2 miles away .,Should n't people communicate with those they are next to instead of calling someone 2 miles away ?,Does n't the teacher expect students to submit their homework by Friday?,Doesn't the teacher expect students to submit their homework by Friday?,Does n't the teacher expect students to submit their homework by Friday?,Doesn't the teacher expect students to submit their homework by Friday?,Doesn't the teacher expect students to submit their homework by Friday?
Would n't it be better to prepare the shopping list instead of dialing home to ask which salad to buy .,Would n't it be better to prepare the shopping list instead of dialling home to ask which salad to buy ?,Should n't we have finished the project before the deadline arrived?,Shouldn't we have finished the project before the deadline arrived?,Should we not have finished the project before the deadline arrived?,Should we have finished the project before the deadline arrived?,Shouldn't we have finished the project before the deadline arrived?
"Mobile phone is a marvellous invention but as for cigarettes , we should right on it","The mobile phone is a marvellous invention , but as with cigarettes , we should write on it :",The committee will crack down with the illegal dumping in the river.,The committee will crack down on illegal dumping in the river.,The committee will crack down on illegal dumping in the river.,The committee will crack down on the illegal dumping in the river.,The committee will crack down on the illegal dumping in the river.
I am writing to reply your letter you wrote me on 10 June .,I am writing to reply the your letter you wrote to me on 10 June .,She is listening to the radio in the morning.,She is listening to the radio in the morning.,She is listening to the radio in the morning.,She is listening to the radio in the morning.,She listens to the radio in the morning.
"Firstly , I would like to tell you , that the group has been booked into Palace Hotel , which locates beside the congress house in the centre .","Firstly , I would like to tell you that the group has been booked into the Palace Hotel , which is located beside the congress house in the centre .",The committee have decided that the new policies applies to all employees.,The committee have decided that the new policies apply to all employees.,The committee has decided that the new policies apply to all employees.,The committee have decided that the new policies apply to all employees.,The committee has decided that the new policies apply to all employees.
You can make contact with Mrs Brackenbury using the number 06 8793888 .,You can make contact with Mrs Brackenbury using the number 06 8793888 .,He is discussing about the project with his colleagues.,He is discussing the project with his colleagues.,He is discussing the project with his colleagues.,He is discussing about the project with his colleagues.,He is discussing the project with his colleagues.
"Secondly , the best way from the hotel to the conference is to take the bus , which is specially organized by us .","Secondly , the best way to get from the hotel to the conference is to take the bus , which has been specially organized by us .","The most effective method for improving your fitness is to exercise regularly, which is especially recommended by health experts.","The most effective method for improving your fitness is to exercise regularly, which is especially recommended by health experts.","The most effective method for improving your fitness is to exercise regularly, which is especially recommended by health experts.","The most effective method for improving your fitness is to exercise regularly, which is especially recommended by health experts.","The most effective method for improving your fitness is to exercise regularly, which is especially recommended by health experts."
"Off course there 's also a bus number 8 in front of the hotel is also suitable , but it leaves only every half an hour .","Of course there 's also a number 8 bus , in front of the hotel , which is also suitable , but it leaves only every half an hour .","Of course the restaurant serves Italian food, it also has a great selection of seafood dishes are very fresh.","Of course the restaurant serves Italian food, but also has a great selection of seafood dishes that are very fresh.","Of course, the restaurant serves Italian food; it also has a great selection of seafood dishes that are very fresh.","Of course the restaurant serves Italian food, it also has a great selection of seafood dishes that are very fresh.",Of course the restaurant serves Italian food; it also has a great selection of fresh seafood dishes.
"The end - of - conference party , which happens in the evening on 20 June , is going to be held on the coast .","The end - of - conference party , which will be in the evening on 20 June , is going to be held on the coast .","The annual company picnic, which takes place in summer on July 15th, is always celebrated at the park with games and activities.","The annual company picnic, which takes place in summer on July 15th, is always celebrated at the park with games and activities.","The annual company picnic, which takes place in summer on July 15th, is always celebrated at the park with games and activities.","The annual company picnic, which takes place in summer on July 15th, is always celebrated at the park with games and activities.","The annual company picnic, which takes place in summer on July 15th, is always celebrated at the park with games and activities."
