original,ground_truth,generated
I am sad to read about Richard not being at his best .,I am sad to read about Richard not being well .,I am interested to learn about the new software system at the company.
"As far as organisation is concerned , adequate number of double rooms with shower or bath have been booked for your group at the Palace hotel located across the main street from the train station .","As far as the organisation is concerned , an adequate number of double rooms with shower or bath have been booked for your group at the Palace Hotel , located across the main street from the train station .",Adequate number of single bedrooms with modern facilities have been reserved for the students at the university campus situated next to the shopping centre.
"To come to our college , you can either watch downhill to the lake front ( about 10 min ) or take the new cable car from the train station .","To come to our college , you can either walk downhill to the lakeside ( about 10 mins ) or take the new cable car from the train station .","To arrive at the city centre, you can either walk uphill to the shopping district (about 15 minutes) or take the express bus from the airport terminal."
The college is just stairs away from the bottom end .,The college is just steps away from the bottom end .,"The restaurant is just minutes away from the train station, so we can arrive there by foot."
"It will start by a speech from the Director of the conference , followed by a meal .","It will start with a speech from the Director of the conference , followed by a meal .","The meeting will start with a presentation from the manager of the company, followed by a coffee break."
The recreative part will begin at 10 pm with a short musical comedy performed by some of our students and end with fireworks launched from the roof of the college at 2 am .,The recreational part will begin at 10 pm with a short musical comedy performed by some of our students and end with fireworks launched from the roof of the college at 2 am .,The social part will begin at 7 pm with a funny dance performance made by some of our colleagues and end with a cake cut from the kitchen at 9 pm.
"Appart of that , there is no recommendation as to what to wear .","Apart from that , there is no recommendation as to what to wear .","Allpart from the high price, the hotel has no good facilities for families."
yours sincerely,Yours sincerely,"best regards, Maria"
Where are you ?,' Where are you ? ',N/A - Unable to generate as requested; the original sentence contains no grammatical error.
Due to the mobile phone .,"Due to the mobile phone ,",Because of the bad weather .
Of course it allows to be reached everywhere ( even in places you would n't want . ),Of course it allows us to be reached everywhere ( even in places you would n't want ) .,The new software helps to improve the productivity of workers without needing special training .
But is n't it a handicap outside professional life .,But is n't it a handicap outside professional life ?,Don't you think that studying abroad is very expensive for most families ?
Should n't people communicate with those they are next to instead of calling someone 2 miles away .,Should n't people communicate with those they are next to instead of calling someone 2 miles away ?,He do n't like eating spicy food because it makes him uncomfortable.
Would n't it be better to prepare the shopping list instead of dialing home to ask which salad to buy .,Would n't it be better to prepare the shopping list instead of dialling home to ask which salad to buy ?,She would n't have forgotten her passport if she had checked her bag before leaving.
"Mobile phone is a marvellous invention but as for cigarettes , we should right on it","The mobile phone is a marvellous invention , but as with cigarettes , we should write on it :",The government should act right on the pollution problem instead of ignoring it.
I am writing to reply your letter you wrote me on 10 June .,I am writing to reply the your letter you wrote to me on 10 June .,I am calling to inform about my decision what I made yesterday.
"Firstly , I would like to tell you , that the group has been booked into Palace Hotel , which locates beside the congress house in the centre .","Firstly , I would like to tell you that the group has been booked into the Palace Hotel , which is located beside the congress house in the centre .","The company has been registered into Johnson Company, which are located in the main street of the city."
You can make contact with Mrs Brackenbury using the number 06 8793888 .,You can make contact with Mrs Brackenbury using the number 06 8793888 .,You can make contact in Mr. Peterson by the telephone number 555-1234.
"Secondly , the best way from the hotel to the conference is to take the bus , which is specially organized by us .","Secondly , the best way to get from the hotel to the conference is to take the bus , which has been specially organized by us .",The most quickest way to improve your English is practicing every day with a native speaker.
