original,ground_truth,t5_base_corrected,coedit_large_corrected,prithivida_corrected,haiku_corrected
I am sad to read about Richard not being at his best .,I am sad to read about Richard not being well .,I am sad to read about Richard not being at his best.,I am sad to read about Richard not being at his best.,I am sad to read about Richard not being at his best .,I am sad to read that Richard is not at his best.
"As far as organisation is concerned , adequate number of double rooms with shower or bath have been booked for your group at the Palace hotel located across the main street from the train station .","As far as the organisation is concerned , an adequate number of double rooms with shower or bath have been booked for your group at the Palace Hotel , located across the main street from the train station .","As far as organisation is concerned, adequate number of double rooms with shower or bath have been booked for your group at the Palace hotel located across the main street from the train station.","As far as the organization is concerned, an adequate number of double rooms with shower or bath have been booked for your group at the Palace hotel located across the main street from the train station.","As far as organisation is concerned, an adequate number of double rooms with shower or bath have been booked for your group at the Palace hotel located across the main street from the train station.","Regarding accommodation, an adequate number of double rooms with showers or baths have been booked for your group at the Palace Hotel, located across the main street from the train station."
"To come to our college , you can either watch downhill to the lake front ( about 10 min ) or take the new cable car from the train station .","To come to our college , you can either walk downhill to the lakeside ( about 10 mins ) or take the new cable car from the train station .","To come to our college, you can either watch downhill to the lake front ( about 10 min ) or take the new cable car from the train station .","To come to our college, you can either go downhill to the lake front (about 10 min ) or take the new cable car from the train station.","To come to our college , you can either watch downhill to the lake front ( about 10 min ) or take the new cable car from the train station .","To reach our college, you can either walk downhill to the waterfront (about 10 minutes) or take the new cable car from the train station."
The college is just stairs away from the bottom end .,The college is just steps away from the bottom end .,The college is just steps away from the bottom end.,The college is just stairs away from the bottom end.,The college is just steps away from the bottom end.,The college is just a short flight of stairs away from the bottom end.
"It will start by a speech from the Director of the conference , followed by a meal .","It will start with a speech from the Director of the conference , followed by a meal .",It will start by a speech from the Director of the conference followed by a meal.,"It will start with a speech from the Director of the conference, followed by a meal.","It will start by a speech from the Director of the conference , followed by a meal .","It will start with a speech from the Director of the conference, followed by a meal."
The recreative part will begin at 10 pm with a short musical comedy performed by some of our students and end with fireworks launched from the roof of the college at 2 am .,The recreational part will begin at 10 pm with a short musical comedy performed by some of our students and end with fireworks launched from the roof of the college at 2 am .,The creative part will begin at 10 pm with a short musical comedy performed by some of our students and end with fireworks launched from the roof of the college at 2 am.,The recreative part will begin at 10 pm with a short musical comedy performed by some of our students and end with fireworks launched from the roof of the college at 2 am.,The recreative part will begin at 10 pm with a short musical comedy performed by some of our students and end with fireworks launched from the roof of the college at 2 am.,The recreational part will begin at 10 pm with a short musical comedy performed by some of our students and end with fireworks launched from the roof of the college at 2 am.
"Appart of that , there is no recommendation as to what to wear .","Apart from that , there is no recommendation as to what to wear .","In the case of that, there is no recommendation as to what to wear.","Apart from that, there is no recommendation as to what to wear.",There is no recommendation as to what to wear.,"Apart from that, there is no recommendation as to what to wear."
yours sincerely,Yours sincerely,Yours sincerely.,Yours sincerely,Yours sincerely.,"Yours sincerely,"
Where are you ?,' Where are you ? ',Where are you?,Where are you?,Where are you ?,Where are you?
Due to the mobile phone .,"Due to the mobile phone ,",Due to the mobile phone.,Due to the mobile phone.,Due to the mobile phone .,Due to the mobile phone.
Of course it allows to be reached everywhere ( even in places you would n't want . ),Of course it allows us to be reached everywhere ( even in places you would n't want ) .,Of course it allows to be reached everywhere ( even in places you wouldn't want to be).,"Of course, it allows us to be reached everywhere (even in places you wouldn't want . )",Of course it allows to be reached everywhere ( even in places you would n't want . ),Of course it allows you to be reached everywhere (even in places you wouldn't want).
But is n't it a handicap outside professional life .,But is n't it a handicap outside professional life ?,But isn't it a handicap outside of professional life?,But is n't it a handicap outside professional life?,But isn't it a handicap outside professional life ?,But isn't it a handicap outside professional life?
Should n't people communicate with those they are next to instead of calling someone 2 miles away .,Should n't people communicate with those they are next to instead of calling someone 2 miles away ?,Shouldn't people communicate with those they are next to instead of calling someone 2 miles away?,Shouldn't people communicate with those they are next to instead of calling someone 2 miles away?,Should people communicate with those they are next to instead of calling someone 2 miles away .,Shouldn't people communicate with those they are next to instead of calling someone 2 miles away?
Would n't it be better to prepare the shopping list instead of dialing home to ask which salad to buy .,Would n't it be better to prepare the shopping list instead of dialling home to ask which salad to buy ?,Wouldn't it be better to prepare the shopping list instead of dialing home to ask which salad to buy?,Would n't it be better to prepare the shopping list instead of dialing home to ask which salad to buy?,Wouldn't it be better to prepare the shopping list instead of dialing home to ask which salad to buy?,Wouldn't it be better to prepare the shopping list instead of dialing home to ask which salad to buy?
"Mobile phone is a marvellous invention but as for cigarettes , we should right on it","The mobile phone is a marvellous invention , but as with cigarettes , we should write on it :","Mobile phones are a marvellous invention, but as for cigarettes, we should right on it.","The mobile phone is a marvelous invention, but as for cigarettes, we should right on it.","Mobile phone is a marvellous invention but as for cigarettes , we should right on it.","The mobile phone is a marvellous invention, but as for cigarettes, we should restrict it."
I am writing to reply your letter you wrote me on 10 June .,I am writing to reply the your letter you wrote to me on 10 June .,I am writing to reply to your letter you wrote me on 10 June.,I am writing to reply to your letter you wrote to me on 10 June.,I am writing to reply to your letter you wrote me on 10 June.,I am writing to reply to your letter of 10 June.
