id,input,output,error_category
1,"The old man the boats during the storm.","The old man the boats during the storm.","Garden Path: Baseline (Correct)"
2,"The horse raced past the barn fell down.","The horse raced past the barn fell down.","Garden Path: Baseline (Correct)"
3,"I saw the man with the telescope that was broken.","I saw the man with the broken telescope.","Syntactic Ambiguity"
4,"The data is suggests that we are failing.","The data suggests that we are failing.","Mixed: SVA/Redundancy"
5,"He did not know weather to go or stay.","He did not know whether to go or stay.","Homonym: weather/whether"
6,"Its a long way to the top if you want to rock.","It's a long way to the top if you want to rock.","Punctuation: It's/Its"
7,"The criteria for the project is very strict.","The criteria for the project are very strict.","Irregular Plural SVA"
8,"He is more unique than his brother.","He is more unique than his brother.","Baseline: Non-gradable (Stylistic)"
9,"If I would have been there, I would have helped.","If I had been there, I would have helped.","Conditional Type 3"
10,"I look forward to hear from you soonly.","I look forward to hearing from you soon.","Mixed: Gerund/Adverb"
11,"The sheep is eating grass in the fields.","The sheep are eating grass in the fields.","SVA: Collective/Plural context"
12,"He effect the outcome of the game.","He affected the outcome of the game.","Homonym: Affect/Effect"
13,"She lead the team to victory yesteday.","She led the team to victory yesterday.","Mixed: Irregular Past/Spelling"
14,"The principal of the school is a man of principle.","The principal of the school is a man of principle.","Baseline: Homonym Check"
15,"I am not used to drive on this side.","I am not used to driving on this side.","Verb Pattern: Used to"
16,"He don't know nothing about no gold.","He doesn't know anything about any gold.","Triple Negative"
17,"The news are spreading like a wildfire.","The news is spreading like wildfire.","Uncountable SVA/Article"
18,"I prefer tea than coffee in the morning.","I prefer tea to coffee in the morning.","Preposition: Preference"
19,"She is the taller of the three sisters.","She is the tallest of the three sisters.","Comparison: Superlative"
20,"Despite of the heat, they kept running.","Despite the heat, they kept running.","Redundancy: Prep"
21,"He suggested us to take the bus.","He suggested that we take the bus.","Verb Pattern: Suggest"
22,"The scissors is on the desk near the paper.","The scissors are on the desk near the paper.","SVA: Plural-only Noun"
23,"I've been waiting here since two hours.","I've been waiting here for two hours.","Prep: Duration"
24,"He works as a engineer in the city.","He works as an engineer in the city.","Article: Phonetic"
25,"The man who I saw him was very tall.","The man I saw was very tall.","Relative Clause Redundancy"
26,"She speaks English very good for a tourist.","She speaks English very well for a tourist.","Adjective/Adverb"
27,"I wish I was taller than I am now.","I wish I were taller than I am now.","Subjunctive"
28,"He layed the book on the table yesterday.","He laid the book on the table yesterday.","Confusing Verb: Lie/Lay"
29,"The phenomena was observed by the scientist.","The phenomenon was observed by the scientist.","Irregular Singular/Plural"
30,"He is one of those people who is always late.","He is one of those people who are always late.","SVA: Relative Clause"
31,"I forgot my umbrella, so I got wetly.","I forgot my umbrella, so I got wet.","Adverb Over-extension"
32,"The cake smells deliciously and looks great.","The cake smells delicious and looks great.","Stative Verb/Adjective"
33,"He has less friends than he used to.","He has fewer friends than he used to.","Quantifier: Countable"
34,"I didn't saw him at the gym today.","I didn't see him at the gym today.","Tense: Auxiliary"
35,"The car's engine is more powerfuler now.","The car's engine is more powerful now.","Double Comparison"
36,"Every boy and girl have to participate.","Every boy and girl has to participate.","SVA: Compound with Every"
37,"He has been gone since a long time.","He has been gone for a long time.","Prep: Duration"
38,"Whose going to be at the party tonight?","Who's going to be at the party tonight?","Homonym: Who's/Whose"
39,"I am very interesting in ancient history.","I am very interested in ancient history.","Participle: -ing/-ed"
40,"She recommended me to see that movie.","She recommended that I see that movie.","Verb Pattern: Recommend"
41,"The number of students are increasing.","The number of students is increasing.","SVA: 'The number of'"
42,"A number of students is waiting outside.","A number of students are waiting outside.","SVA: 'A number of'"
43,"He acts like he is the boss of me.","He acts as if he were the boss of me.","Comparison/Subjunctive"
44,"The reason is because I was tired.","The reason is that I was tired.","Redundancy: Reason/Because"
45,"I can't hardly hear you over the noise.","I can hardly hear you over the noise.","Double Negative"
46,"She arrived at 5 PM in the afternoon.","She arrived at 5 PM.","Redundancy: Time"
47,"They invited my wife and I to dinner.","They invited my wife and me to dinner.","Case: Object Pronoun"
48,"Between you and I, this is a secret.","Between you and me, this is a secret.","Prep Case"
49,"He is a man whom I know is honest.","He is a man who I know is honest.","Case: Who/Whom"
50,"I am thinking to quit my job soon.","I am thinking of quitting my job soon.","Verb Pattern: Thinking"
51,"I suggest that he goes to the doctor.","I suggest that he go to the doctor.","Subjunctive: Present"
