id,input,output,error_category
0,He would go if he would know.,He would have gone if he had known.,Conditionals
1,She don't understands teh problem.,She doesn't understand the problem.,Subject-Verb Agreement
2,I forgot brignign my umbrella.,I forgot to bring my umbrella.,Verb Complement
3,I'm looking forward to meet you.,I'm looking forward to meeting you.,Gerund/Infinitive
4,Every students have to submit teh essay.,Every student has to submit the essay.,Determiner/SVA
5,I'm looking forward to meet you.,I'm looking forward to meeting you.,Gerund/Infinitive
6,I forgot bringing my umbrella.,I forgot to bring my umbrella.,Verb Complement
7,There is less cars on teh road today.,There are fewer cars on the road today.,Countable/Uncountable
8,This is the more interestingest book.,This is the most interesting book.,Adjective Comparison
9,I forgot bringing my umbrella.,I forgot to bring my umbrella.,Verb Complement
10,He would go if he would know.,He would have gone if he had known.,Conditionals
11,I'm looking forward to meet you.,I'm looking forward to meeting you.,Gerund/Infinitive
12,He would go if he would know.,He would have gone if he had known.,Conditionals
13,Every students have to submit teh essay.,Every student has to submit the essay.,Determiner/SVA
14,I have live here for 2010.,I have lived here since 2010.,Tense/Preposition
15,The childs is playing outside.,The children are playing outside.,Pluralization/SVA
16,She don't understands teh problem.,She doesn't understand the problem.,Subject-Verb Agreement
17,"If I was rich, I will travel.","If I were rich, I would travel.",Subjunctive/Modal
18,I'm looking forward to meet you.,I'm looking forward to meeting you.,Gerund/Infinitive
19,He would go if he would know.,He would have gone if he had known.,Conditionals
20,He would go if he would know.,He would have gone if he had known.,Conditionals
21,I have live here for 2010.,I have lived here since 2010.,Tense/Preposition
22,"If I was rich, I will travel.","If I were rich, I would travel.",Subjunctive/Modal
23,There is less cars on the road today.,There are fewer cars on the road today.,Countable/Uncountable
24,"If I was rich, I will travel.","If I were rich, I would travel.",Subjunctive/Modal
25,There is less cars on the road today.,There are fewer cars on the road today.,Countable/Uncountable
26,I forgot bringing my umbrella.,I forgot to bring my umbrella.,Verb Complement
27,He would go if he would know.,He would have gone if he had known.,Conditionals
28,The childs is playing outside.,The children are playing outside.,Pluralization/SVA
29,I forgot bringing my umbrella.,I forgot to bring my umbrella.,Verb Complement
30,He would go if he would know.,He would have gone if he had known.,Conditionals
31,There is less cars on the road today.,There are fewer cars on the road today.,Countable/Uncountable
32,There is less cars on the road today.,There are fewer cars on the road today.,Countable/Uncountable
33,There is less cars on teh road today.,There are fewer cars on the road today.,Countable/Uncountable
34,"If I was rich, I will travel.","If I were rich, I would travel.",Subjunctive/Modal
35,There is less cars on the road today.,There are fewer cars on the road today.,Countable/Uncountable
36,"If I was rich, I will travel.","If I were rich, I would travel.",Subjunctive/Modal
37,He would go if he would know.,He would have gone if he had known.,Conditionals
38,"If I was rich, I will travel.","If I were rich, I would travel.",Subjunctive/Modal
39,I'm looking forward to meet you.,I'm looking forward to meeting you.,Gerund/Infinitive
40,She don't understands teh problem.,She doesn't understand the problem.,Subject-Verb Agreement
41,I'm looking forward to meet you.,I'm looking forward to meeting you.,Gerund/Infinitive
42,This is teh more interestignest book.,This is the most interesting book.,Adjective Comparison
43,"If I was rich, I will travel.","If I were rich, I would travel.",Subjunctive/Modal
44,She don't understands teh problem.,She doesn't understand the problem.,Subject-Verb Agreement
45,She don't understands teh problem.,She doesn't understand the problem.,Subject-Verb Agreement
46,There is less cars on the road today.,There are fewer cars on the road today.,Countable/Uncountable
47,She don't understands teh problem.,She doesn't understand the problem.,Subject-Verb Agreement
48,He would go if he would know.,He would have gone if he had known.,Conditionals
49,Every students have to submit the essay.,Every student has to submit the essay.,Determiner/SVA
50,She don't understands the problem.,She doesn't understand the problem.,Subject-Verb Agreement
51,He would go if he would know.,He would have gone if he had known.,Conditionals
52,There is less cars on the road today.,There are fewer cars on the road today.,Countable/Uncountable
53,This is the more interestingest book.,This is the most interesting book.,Adjective Comparison
54,I forgot bringing my umbrella.,I forgot to bring my umbrella.,Verb Complement
55,Every students have to submit the essay.,Every student has to submit the essay.,Determiner/SVA
56,I forgot bringing my umbrella.,I forgot to bring my umbrella.,Verb Complement
57,I'm lookign forward to meet you.,I'm looking forward to meeting you.,Gerund/Infinitive
58,Every students have to submit the essay.,Every student has to submit the essay.,Determiner/SVA
59,I forgot bringing my umbrella.,I forgot to bring my umbrella.,Verb Complement
60,She don't understands teh problem.,She doesn't understand the problem.,Subject-Verb Agreement
61,The childs is playing outside.,The children are playing outside.,Pluralization/SVA
62,I have live here for 2010.,I have lived here since 2010.,Tense/Preposition
63,The childs is playign outside.,The children are playing outside.,Pluralization/SVA
64,"If I was rich, I will travel.","If I were rich, I would travel.",Subjunctive/Modal
65,I'm looking forward to meet you.,I'm looking forward to meeting you.,Gerund/Infinitive
66,I forgot bringing my umbrella.,I forgot to bring my umbrella.,Verb Complement
67,She don't understands the problem.,She doesn't understand the problem.,Subject-Verb Agreement
68,This is the more interestingest book.,This is the most interesting book.,Adjective Comparison
69,There is less cars on the road today.,There are fewer cars on the road today.,Countable/Uncountable
70,He would go if he would know.,He would have gone if he had known.,Conditionals
71,I forgot bringing my umbrella.,I forgot to bring my umbrella.,Verb Complement
72,She don't understands the problem.,She doesn't understand the problem.,Subject-Verb Agreement
73,I have live here for 2010.,I have lived here since 2010.,Tense/Preposition
74,She don't understands the problem.,She doesn't understand the problem.,Subject-Verb Agreement
75,I have live here for 2010.,I have lived here since 2010.,Tense/Preposition
